legacy_url,legacy_title,legacy_kind,legacy_section,legacy_words,legacy_images,our_url,our_title,section,entry_type,record_id,author,date,publication,has_byline_fields,our_images,body_cleaned,reviewed,reviewed_at,state
https://scvhistory.com/mentryville/032008/9.html,,other,mentryville/032008,0,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/mentryville/m2008spring.htm,"Friends of Mentryville: California's First Oil Boom Town",other,mentryville,87,5,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/mentryville/mdirections.htm,"Friends of Mentryville: California's First Oil Boom Town",other,mentryville,119,5,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/mentryville/mdonors.htm,"Friends of Mentryville: California's First Oil Boom Town",article,mentryville,322,6,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/mentryville/mstory.htm,"Friends of Mentryville: California's First Oil Boom Town",article,mentryville,3387,6,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/oldtownnewhall/,,index,oldtownnewhall,0,0,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/oldtownnewhall/gazette-subscribe.htm,"Old Town Newhall Gazette",article,oldtownnewhall,333,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/oldtownnewhall/gazette/gazette1101-editorial.htm,"Old Town Newhall Gazette, November-December 2005.",article,oldtownnewhall/gazette,1603,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/oldtownnewhall/gazette/gazette1101-history.htm,"Old Town Newhall Gazette, November-December 2005.",article,oldtownnewhall/gazette,1047,2,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/oldtownnewhall/gazette/gazette1101-nrc.htm,"Old Town Newhall Gazette, November-December 2005.",article,oldtownnewhall/gazette,550,2,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/oldtownnewhall/gazette/gazette1101-smisko.htm,"Old Town Newhall Gazette, November-December 2005.",article,oldtownnewhall/gazette,657,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/oldtownnewhall/gazette/gazette1101-specific.htm,"Old Town Newhall Gazette, November-December 2005.",article,oldtownnewhall/gazette,735,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/oldtownnewhall/gazette/gazette1201-arts.htm,"Old Town Newhall Gazette, January-February 2006.",article,oldtownnewhall/gazette,763,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/oldtownnewhall/gazette/gazette1201-brotzman.htm,"Old Town Newhall Gazette, January-February 2006.",article,oldtownnewhall/gazette,557,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/oldtownnewhall/gazette/gazette1201-business.htm,"Old Town Newhall Gazette, January-February 2006.",article,oldtownnewhall/gazette,406,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/oldtownnewhall/gazette/gazette1201-editorial.htm,"Old Town Newhall Gazette, January-February 2006.",article,oldtownnewhall/gazette,1121,1,,,,,,,,,,,,no,,"no record"
